2022-02-22 12:22:36.988 | INFO     | aiogram.contrib.middlewares.logging:on_pre_process_callback_query:101 - Received callback query [ID:5297661319628025482] from user [ID:1233457894] for message [ID:25471] in chat [private:1233457894] with data: city_38 originally posted by user [ID:5057756204]
2022-02-22 12:22:37.095 | INFO     | aiogram.contrib.middlewares.logging:on_post_process_callback_query:121 - Unhandled callback query [ID:5297661319628025482] from user [ID:1233457894] for message [ID:25471] in chat [private:1233457894] with data: city_38 originally posted by user [ID:5057756204]
2022-02-22 12:22:37.100 | INFO     | aiogram.contrib.middlewares.logging:on_post_process_update:33 - Process update [ID:3459844]: [success] (in 112 ms)
2022-02-22 12:22:38.992 | INFO     | aiogram.contrib.middlewares.logging:on_pre_process_callback_query:101 - Received callback query [ID:5297661317840520555] from user [ID:1233457894] for message [ID:25471] in chat [private:1233457894] with data: area_139 originally posted by user [ID:5057756204]
2022-02-22 12:22:39.149 | INFO     | aiogram.contrib.middlewares.logging:on_post_process_callback_query:121 - Unhandled callback query [ID:5297661317840520555] from user [ID:1233457894] for message [ID:25471] in chat [private:1233457894] with data: area_139 originally posted by user [ID:5057756204]
2022-02-22 12:22:39.151 | INFO     | aiogram.contrib.middlewares.logging:on_post_process_update:33 - Process update [ID:3459845]: [success] (in 160 ms)
2022-02-22 12:22:49.097 | INFO     | aiogram.contrib.middlewares.logging:on_pre_process_callback_query:101 - Received callback query [ID:5297661317461029414] from user [ID:1233457894] for message [ID:25471] in chat [private:1233457894] with data: good_5_139 originally posted by user [ID:5057756204]
2022-02-22 12:22:49.198 | INFO     | aiogram.contrib.middlewares.logging:on_post_process_callback_query:121 - Unhandled callback query [ID:5297661317461029414] from user [ID:1233457894] for message [ID:25471] in chat [private:1233457894] with data: good_5_139 originally posted by user [ID:5057756204]
2022-02-22 12:22:49.199 | INFO     | aiogram.contrib.middlewares.logging:on_post_process_update:33 - Process update [ID:3459846]: [success] (in 102 ms)
2022-02-22 12:22:52.744 | INFO     | aiogram.contrib.middlewares.logging:on_pre_process_callback_query:101 - Received callback query [ID:5297661318905222428] from user [ID:1233457894] for message [ID:25471] in chat [private:1233457894] with data: position_2507 originally posted by user [ID:5057756204]
2022-02-22 12:22:52.946 | INFO     | aiogram.contrib.middlewares.logging:on_post_process_callback_query:121 - Unhandled callback query [ID:5297661318905222428] from user [ID:1233457894] for message [ID:25471] in chat [private:1233457894] with data: position_2507 originally posted by user [ID:5057756204]
2022-02-22 12:22:52.947 | INFO     | aiogram.contrib.middlewares.logging:on_post_process_update:33 - Process update [ID:3459847]: [success] (in 203 ms)
2022-02-22 12:22:57.261 | INFO     | aiogram.contrib.middlewares.logging:on_pre_process_callback_query:101 - Received callback query [ID:5297661319194596442] from user [ID:1233457894] for message [ID:25471] in chat [private:1233457894] with data: pay_2507_discount_3 originally posted by user [ID:5057756204]
2022-02-22 12:22:57.575 | INFO     | aiogram.contrib.middlewares.logging:on_post_process_callback_query:121 - Unhandled callback query [ID:5297661319194596442] from user [ID:1233457894] for message [ID:25471] in chat [private:1233457894] with data: pay_2507_discount_3 originally posted by user [ID:5057756204]
2022-02-22 12:22:57.576 | INFO     | aiogram.contrib.middlewares.logging:on_post_process_update:33 - Process update [ID:3459848]: [success] (in 316 ms)
2022-02-22 12:23:06.667 | INFO     | aiogram.contrib.middlewares.logging:on_pre_process_message:36 - Received message [ID:12673] in chat [supergroup:-1001730947390]
2022-02-22 12:23:06.676 | INFO     | aiogram.contrib.middlewares.logging:on_post_process_update:33 - Process update [ID:3459849]: [success] (in 9 ms)
2022-02-22 12:23:08.916 | INFO     | aiogram.contrib.middlewares.logging:on_pre_process_message:36 - Received message [ID:12674] in chat [supergroup:-1001730947390]
2022-02-22 12:23:08.924 | INFO     | aiogram.contrib.middlewares.logging:on_post_process_update:33 - Process update [ID:3459850]: [success] (in 8 ms)
2022-02-22 12:23:48.022 | INFO     | aiogram.contrib.middlewares.logging:on_pre_process_message:36 - Received message [ID:25474] in chat [private:1233457894]
2022-02-22 12:23:48.241 | INFO     | aiogram.contrib.middlewares.logging:on_post_process_update:33 - Process update [ID:3459851]: [success] (in 220 ms)
2022-02-22 12:24:13.264 | INFO     | aiogram.contrib.middlewares.logging:on_pre_process_message:36 - Received message [ID:25476] in chat [private:1233457894]
2022-02-22 12:24:13.542 | INFO     | aiogram.contrib.middlewares.logging:on_post_process_update:33 - Process update [ID:3459852]: [success] (in 278 ms)
2022-02-22 12:24:26.678 | INFO     | aiogram.contrib.middlewares.logging:on_pre_process_message:36 - Received message [ID:25478] in chat [private:1233457894]
2022-02-22 12:24:26.885 | INFO     | aiogram.contrib.middlewares.logging:on_post_process_update:33 - Process update [ID:3459853]: [success] (in 208 ms)
2022-02-22 12:24:46.612 | INFO     | aiogram.contrib.middlewares.logging:on_pre_process_message:36 - Received message [ID:25480] in chat [private:1233457894]
2022-02-22 12:24:46.832 | INFO     | aiogram.contrib.middlewares.logging:on_post_process_update:33 - Process update [ID:3459854]: [success] (in 220 ms)
2022-02-22 12:25:32.521 | INFO     | aiogram.contrib.middlewares.logging:on_pre_process_message:36 - Received message [ID:25482] in chat [private:1233457894]
2022-02-22 12:25:33.367 | INFO     | aiogram.contrib.middlewares.logging:on_post_process_update:33 - Process update [ID:3459855]: [success] (in 847 ms)
2022-02-22 12:25:37.725 | INFO     | aiogram.contrib.middlewares.logging:on_pre_process_message:36 - Received message [ID:25485] in chat [private:1233457894]
2022-02-22 12:25:37.960 | INFO     | aiogram.contrib.middlewares.logging:on_post_process_update:33 - Process update [ID:3459856]: [success] (in 236 ms)
2022-02-22 12:25:39.926 | INFO     | aiogram.contrib.middlewares.logging:on_pre_process_callback_query:101 - Received callback query [ID:5297661316840435398] from user [ID:1233457894] for message [ID:25486] in chat [private:1233457894] with data: city_18 originally posted by user [ID:5057756204]
2022-02-22 12:25:40.004 | INFO     | aiogram.contrib.middlewares.logging:on_post_process_callback_query:121 - Unhandled callback query [ID:5297661316840435398] from user [ID:1233457894] for message [ID:25486] in chat [private:1233457894] with data: city_18 originally posted by user [ID:5057756204]
2022-02-22 12:25:40.006 | INFO     | aiogram.contrib.middlewares.logging:on_post_process_update:33 - Process update [ID:3459857]: [success] (in 80 ms)
2022-02-22 12:25:41.851 | INFO     | aiogram.contrib.middlewares.logging:on_pre_process_callback_query:101 - Received callback query [ID:5297661319161205969] from user [ID:1233457894] for message [ID:25486] in chat [private:1233457894] with data: area_56 originally posted by user [ID:5057756204]
2022-02-22 12:25:41.936 | INFO     | aiogram.contrib.middlewares.logging:on_post_process_callback_query:121 - Unhandled callback query [ID:5297661319161205969] from user [ID:1233457894] for message [ID:25486] in chat [private:1233457894] with data: area_56 originally posted by user [ID:5057756204]
2022-02-22 12:25:41.937 | INFO     | aiogram.contrib.middlewares.logging:on_post_process_update:33 - Process update [ID:3459858]: [success] (in 87 ms)
2022-02-22 12:25:44.720 | INFO     | aiogram.contrib.middlewares.logging:on_pre_process_callback_query:101 - Received callback query [ID:5297661318705596592] from user [ID:1233457894] for message [ID:25486] in chat [private:1233457894] with data: city_18 originally posted by user [ID:5057756204]
