2024-10-28 22:46:54.771 | INFO     | aiogram.dispatcher.dispatcher:start_polling:358 - Start polling.
2024-10-28 22:52:39.144 | INFO     | aiogram.contrib.middlewares.logging:on_pre_process_callback_query:101 - Received callback query [ID:3293557713807863488] from user [ID:5061808458] for message [ID:336] in chat [private:5061808458] with data: link_change_forward_channel_id originally posted by user [ID:7774045102]
2024-10-28 22:52:39.334 | INFO     | aiogram.contrib.middlewares.logging:on_post_process_callback_query:121 - Unhandled callback query [ID:3293557713807863488] from user [ID:5061808458] for message [ID:336] in chat [private:5061808458] with data: link_change_forward_channel_id originally posted by user [ID:7774045102]
2024-10-28 22:52:39.335 | INFO     | aiogram.contrib.middlewares.logging:on_post_process_update:33 - Process update [ID:728621006]: [success] (in 191 ms)
2024-10-28 22:52:40.401 | INFO     | aiogram.contrib.middlewares.logging:on_pre_process_message:36 - Received message [ID:359] in chat [private:5061808458]
2024-10-28 22:52:40.928 | INFO     | aiogram.contrib.middlewares.logging:on_post_process_update:33 - Process update [ID:728621007]: [success] (in 527 ms)
2024-10-28 22:52:45.839 | INFO     | aiogram.contrib.middlewares.logging:on_pre_process_message:36 - Received message [ID:362] in chat [private:5061808458]
2024-10-28 22:52:45.970 | INFO     | aiogram.contrib.middlewares.logging:on_post_process_update:33 - Process update [ID:728621008]: [success] (in 131 ms)
2024-10-28 22:52:47.508 | INFO     | aiogram.contrib.middlewares.logging:on_pre_process_message:36 - Received message [ID:364] in chat [private:5061808458]
2024-10-28 22:52:47.796 | INFO     | aiogram.contrib.middlewares.logging:on_post_process_update:33 - Process update [ID:728621009]: [success] (in 287 ms)
2024-10-28 22:53:25.308 | INFO     | aiogram.contrib.middlewares.logging:on_pre_process_message:36 - Received message [ID:366] in chat [private:5061808458]
2024-10-28 22:53:25.529 | INFO     | aiogram.contrib.middlewares.logging:on_post_process_update:33 - Process update [ID:728621010]: [success] (in 221 ms)
2024-10-28 22:53:27.036 | INFO     | aiogram.contrib.middlewares.logging:on_pre_process_message:36 - Received message [ID:369] in chat [private:5061808458]
2024-10-28 22:53:27.139 | INFO     | aiogram.contrib.middlewares.logging:on_post_process_update:33 - Process update [ID:728621011]: [success] (in 103 ms)
2024-10-28 22:53:29.821 | INFO     | aiogram.contrib.middlewares.logging:on_pre_process_callback_query:101 - Received callback query [ID:3293557713204455195] from user [ID:5061808458] for message [ID:370] in chat [private:5061808458] with data: link_change_zalets_channel_id originally posted by user [ID:7774045102]
2024-10-28 22:53:30.039 | INFO     | aiogram.contrib.middlewares.logging:on_post_process_callback_query:121 - Unhandled callback query [ID:3293557713204455195] from user [ID:5061808458] for message [ID:370] in chat [private:5061808458] with data: link_change_zalets_channel_id originally posted by user [ID:7774045102]
2024-10-28 22:53:30.390 | INFO     | aiogram.contrib.middlewares.logging:on_post_process_update:33 - Process update [ID:728621012]: [success] (in 569 ms)
2024-10-28 22:53:31.310 | INFO     | aiogram.contrib.middlewares.logging:on_pre_process_message:36 - Received message [ID:372] in chat [private:5061808458]
2024-10-28 22:53:31.518 | INFO     | aiogram.contrib.middlewares.logging:on_post_process_update:33 - Process update [ID:728621013]: [success] (in 208 ms)
2024-10-28 22:54:39.711 | INFO     | aiogram.contrib.middlewares.logging:on_pre_process_message:36 - Received message [ID:375] in chat [private:7178825742]
